,source,source_name,final,final_name,weight
0,180228,Elvis Presley,13384,Tanya Tucker,2.568050833375483
1,180228,Elvis Presley,20760,Shelby Lynne,2.9099828292364025
2,180228,Elvis Presley,31067,Solomon Burke,2.0
3,180228,Elvis Presley,57840,B.J. Thomas,2.2662969061336526
4,180228,Elvis Presley,66429,Bobby Bare,2.0
5,180228,Elvis Presley,85410,Billy Joe Royal,2.0
6,180228,Elvis Presley,86312,The Judds,2.9099828292364025
7,180228,Elvis Presley,95613,Chico Buarque,2.2662969061336526
8,180228,Elvis Presley,98081,Engelbert Humperdinck,2.0
9,180228,Elvis Presley,99753,Connie Smith,2.2662969061336526
10,180228,Elvis Presley,102985,Julio Iglesias,2.2662969061336526
11,180228,Elvis Presley,117844,"Hank Williams, Jr.",2.0
12,180228,Elvis Presley,130115,Jackson C. Frank,2.2662969061336526
13,180228,Elvis Presley,132579,Larry Norman,2.2662969061336526
14,180228,Elvis Presley,147306,Eddy Raven,2.568050833375483
15,180228,Elvis Presley,152002,Joe Ely,2.568050833375483
16,180228,Elvis Presley,185615,Gary Stewart,2.2662969061336526
17,180228,Elvis Presley,185669,Mac Davis,2.2662969061336526
18,180228,Elvis Presley,188342,Freddy Fender,2.0
19,180228,Elvis Presley,196248,Don Williams,2.2662969061336526
20,180228,Elvis Presley,200791,Waylon Jennings,2.0
21,180228,Elvis Presley,207127,Ricky Van Shelton,2.9099828292364025
22,180228,Elvis Presley,237517,Lee Hazlewood,2.2662969061336526
23,180228,Elvis Presley,239655,Sandi Patty,2.568050833375483
24,180228,Elvis Presley,254535,Jon Lucien,2.568050833375483
25,180228,Elvis Presley,271113,JosÃ© Feliciano,2.2662969061336526
26,180228,Elvis Presley,311680,Luis Miguel,2.9099828292364025
27,180228,Elvis Presley,333634,Phil Ochs,2.2662969061336526
28,180228,Elvis Presley,334740,Ronnie Milsap,2.2662969061336526
29,180228,Elvis Presley,337631,Rory Gallagher,2.2662969061336526
30,180228,Elvis Presley,399659,The Mavericks,2.9099828292364025
31,180228,Elvis Presley,410219,Merle Haggard,2.2662969061336526
32,180228,Elvis Presley,489207,Annette Peacock,2.2662969061336526
33,180228,Elvis Presley,490549,Anne Murray,2.2662969061336526
34,180228,Elvis Presley,629609,David Allan Coe,2.2662969061336526
35,180228,Elvis Presley,664378,Glen Campbell,2.0
36,180228,Elvis Presley,686560,Wynonna,3.2974425414002564
37,180228,Elvis Presley,744796,Townes Van Zandt,2.2662969061336526
38,180228,Elvis Presley,749476,Trisha Yearwood,3.2974425414002564
39,180228,Elvis Presley,763831,Bob Luman,2.0
40,180228,Elvis Presley,766066,Bobby Vinton,2.0
41,180228,Elvis Presley,780451,Conway Twitty,2.0
42,180228,Elvis Presley,791483,Dwight Yoakam,2.568050833375483
43,180228,Elvis Presley,794846,Eddie Rabbitt,2.568050833375483
44,180228,Elvis Presley,806247,Charlie Daniels,2.0
45,933898,Ashanti,253657,JoJo,2.0
46,294923,Judy Collins,13387,Shawn Colvin,2.568050833375483
47,294923,Judy Collins,51909,Carpenters,2.2662969061336526
48,294923,Judy Collins,137474,Laura Nyro,2.2662969061336526
49,294923,Judy Collins,147635,Carly Simon,2.568050833375483
50,294923,Judy Collins,168256,Eva Cassidy,2.9099828292364025
51,294923,Judy Collins,186185,CÃ©line Dion,2.9099828292364025
52,294923,Judy Collins,210512,Janie Fricke,2.568050833375483
53,294923,Judy Collins,213212,Janis Ian,2.2662969061336526
54,294923,Judy Collins,347151,Jewel,3.2974425414002564
55,294923,Judy Collins,501081,"10,000 Maniacs",2.9099828292364025
56,294923,Judy Collins,574035,St. Vincent,3.7364919148644447
57,294923,Judy Collins,696015,Phoebe Snow,2.568050833375483
58,294923,Judy Collins,858375,Mary Chapin Carpenter,2.9099828292364025
59,753685,Soft Machine,156886,Spyro Gyra,2.2662969061336526
60,753685,Soft Machine,463527,Return to Forever,2.2662969061336526
61,753685,Soft Machine,489520,Mike Oldfield,2.0
62,753685,Soft Machine,840000,Vangelis,2.0
63,49180,Betty Harris,205180,Dr. John,1.6789140415384147
64,852007,Roy Orbison,98081,Engelbert Humperdinck,2.0
65,852007,Roy Orbison,152002,Joe Ely,2.568050833375483
66,852007,Roy Orbison,207127,Ricky Van Shelton,2.9099828292364025
67,852007,Roy Orbison,399659,The Mavericks,2.9099828292364025
68,852007,Roy Orbison,664378,Glen Campbell,2.0
69,852007,Roy Orbison,791483,Dwight Yoakam,2.568050833375483
70,393257,Newsboys,924306,Thousand Foot Krutch,2.2662969061336526
71,278575,Hoyt Axton,22928,Steppenwolf,2.0
72,278575,Hoyt Axton,102050,The Kingston Trio,1.6789140415384147
73,278575,Hoyt Axton,616664,Todd Snider,2.568050833375483
74,278575,Hoyt Axton,744796,Townes Van Zandt,2.0
75,278575,Hoyt Axton,800426,Greg Brown,2.568050833375483
76,278575,Hoyt Axton,925450,Three Dog Night,2.0
77,327735,REO Speedwagon,72716,The Kentucky Headhunters,2.568050833375483
78,327735,REO Speedwagon,97203,BlackHawk,2.9099828292364025
79,327735,REO Speedwagon,281254,Lonestar,2.9099828292364025
80,327735,REO Speedwagon,802382,Casting Crowns,2.9099828292364025
81,327735,REO Speedwagon,837985,Sawyer Brown,2.568050833375483
82,16448,AmÃ¡lia Rodrigues,368451,Nana Mouskouri,2.2662969061336526
83,16448,AmÃ¡lia Rodrigues,861687,Nelly Furtado,3.7364919148644447
84,409670,Melanie,791120,The Roches,2.2662969061336526
85,606283,Al Jarreau,87697,Kem,3.2974425414002564
86,606283,Al Jarreau,203711,Tuck & Patti,2.568050833375483
87,606283,Al Jarreau,935330,Toni Braxton,2.568050833375483
88,327765,John Barry,5953,Alice Cooper,2.2662969061336526
89,327765,John Barry,51066,Craig Armstrong,2.9099828292364025
90,327765,John Barry,56193,Blue States,3.2974425414002564
91,327765,John Barry,105329,Chris Botti,3.2974425414002564
92,327765,John Barry,301619,Portishead,3.2974425414002564
93,327765,John Barry,378288,Massive Attack,2.9099828292364025
94,327765,John Barry,786245,Barry Adamson,2.9099828292364025
95,327765,John Barry,793848,Faithless,3.2974425414002564
96,327765,John Barry,937150,Broadcast,3.2974425414002564
97,327765,John Barry,952786,Goldfrapp,3.2974425414002564
98,82013,The Impressions,38490,The Band,2.2662969061336526
99,82013,The Impressions,69402,Bob Marley & the Wailers,2.2662969061336526
100,82013,The Impressions,75295,Ken Boothe,2.2662969061336526
101,82013,The Impressions,85448,The Heptones,2.2662969061336526
102,82013,The Impressions,190021,John Holt,2.2662969061336526
103,82013,The Impressions,295276,Jimmy Cliff,2.2662969061336526
104,82013,The Impressions,311674,Vanilla Fudge,2.2662969061336526
105,82013,The Impressions,354105,Jimi Hendrix,2.2662969061336526
106,82013,The Impressions,474648,The Melodians,2.2662969061336526
107,82013,The Impressions,493122,The Rascals,2.2662969061336526
108,82013,The Impressions,829122,Huey Lewis & the News,2.9099828292364025
109,82013,The Impressions,918600,The Style Council,2.9099828292364025
110,868456,Melba Montgomery,852997,k.d. lang,2.568050833375483
111,131178,James Burton,175708,Ry Cooder,2.0
112,131178,James Burton,274822,Lonnie Mack,1.6789140415384147
113,131178,James Burton,337631,Rory Gallagher,2.0
114,131178,James Burton,341137,Roy Buchanan,1.6789140415384147
115,131178,James Burton,359016,Richard Thompson,2.0
116,131178,James Burton,519637,Brian Setzer,2.568050833375483
117,131178,James Burton,793988,Eddie Cochran,1.6789140415384147
118,131178,James Burton,796736,Elvin Bishop,2.0
119,131178,James Burton,816387,Leon Russell,1.6789140415384147
120,131178,James Burton,962339,Dave Mason,2.0
121,262255,Mariah Carey,31442,Anastacia,2.0
122,262255,Mariah Carey,51603,Charlotte Church,2.2662969061336526
123,262255,Mariah Carey,86927,Kelly Clarkson,2.568050833375483
124,262255,Mariah Carey,287407,Jessica Simpson,2.2662969061336526
125,262255,Mariah Carey,317865,Jennifer Lopez,2.2662969061336526
126,262255,Mariah Carey,476744,3LW,2.2662969061336526
127,262255,Mariah Carey,566138,Kat DeLuna,2.568050833375483
128,262255,Mariah Carey,628467,Britney Spears,2.2662969061336526
129,262255,Mariah Carey,633313,Katharine McPhee,2.568050833375483
130,262255,Mariah Carey,673933,Mandy Moore,2.2662969061336526
131,262255,Mariah Carey,751201,ThalÃ­a,2.0
132,262255,Mariah Carey,762663,The Cheetah Girls,2.568050833375483
133,262255,Mariah Carey,780258,Christina Aguilera,2.2662969061336526
134,262255,Mariah Carey,841870,Jennifer Paige,2.2662969061336526
135,262255,Mariah Carey,860985,Mary Mary,2.2662969061336526
136,262255,Mariah Carey,861687,Nelly Furtado,2.2662969061336526
137,262255,Mariah Carey,944700,Leona Lewis,2.568050833375483
138,262255,Mariah Carey,2264745,Ariana Grande,2.9099828292364025
139,262255,Mariah Carey,2290007,Grimes,2.9099828292364025
140,262255,Mariah Carey,3308665,Karen Harding,2.9099828292364025
141,262255,Mariah Carey,3460695,Cloves,2.9099828292364025
142,393345,Oasis,866769,Mayday,2.0
143,819344,Desmond Dekker,31971,The Beat,2.2662969061336526
144,819344,Desmond Dekker,75394,Bad Manners,2.568050833375483
145,819344,Desmond Dekker,195874,Madness,2.2662969061336526
146,819344,Desmond Dekker,197921,The English Beat,2.2662969061336526
147,819344,Desmond Dekker,266255,Jonathan Richman,2.2662969061336526
