,Blind Faith,So Alone,Africa,Long Cool Woman (In a Black Dress) - **** Remaster,Thinking of You,Long Way * Go,Who's Loving You,Don't Stop 'Til You Get Enough - Single Version,**** 'N Boogie,What's New,Floatin',Summer Breeze
Blind Faith,1.0,0.3886608261461189,0.3000837577962458,0.48806240268277656,0.5172509693087031,0.6010023380666311,0.3213885749013409,0.47318757069083156,0.27656479273150986,0.16924008843316832,0.45040271739594556,0.3379520145329449
So Alone,0.3886608261461189,1.0,0.22807493385370706,0.334205988199668,0.3301188524179761,0.3682091909729239,0.23535094794169503,0.407942644206169,0.23035193173367086,0.1447015431172291,0.2916291849361758,0.29063305212461615
Africa,0.3000837577962458,0.22807493385370706,1.0,0.3809024195414469,0.3619171311424848,0.342510689022895,0.6279072132025141,0.2579199593901061,0.47190460465024614,0.26709452863377203,0.35967974754287463,0.37058724596978737
Long Cool Woman (In a Black Dress) - **** Remaster,0.48806240268277656,0.334205988199668,0.3809024195414469,1.0,0.6210689187058838,0.6293128509682303,0.38659656057559016,0.4208207217282428,0.3310872439966847,0.189519253416757,0.47234204663749413,0.39263925967206814
Thinking of You,0.5172509693087031,0.3301188524179761,0.3619171311424848,0.6210689187058838,1.0,0.6355879957673238,0.3750415352266544,0.4351352309789045,0.3200836540910137,0.183995516643913,0.47870782892517877,0.3755742877801563
Long Way * Go,0.6010023380666311,0.3682091909729239,0.342510689022895,0.6293128509682303,0.6355879957673238,1.0,0.35496121427251126,0.46637874785800937,0.3038971802338525,0.17929233898244612,0.44888034185668363,0.37419214430465336
Who's Loving You,0.3213885749013409,0.23535094794169503,0.6279072132025141,0.38659656057559016,0.3750415352266544,0.35496121427251126,1.0,0.26068519076604874,0.477573245266381,0.2573271543494694,0.39990485699606265,0.36511788379044685
Don't Stop 'Til You Get Enough - Single Version,0.47318757069083156,0.407942644206169,0.2579199593901061,0.4208207217282428,0.4351352309789045,0.46637874785800937,0.26068519076604874,1.0,0.23711070939687456,0.1524184269507961,0.3390062714715352,0.3005893909103383
**** 'N Boogie,0.27656479273150986,0.23035193173367086,0.47190460465024614,0.3310872439966847,0.3200836540910137,0.3038971802338525,0.477573245266381,0.23711070939687456,1.0,0.26187434193983145,0.3375293099467567,0.3942830936936234
What's New,0.16924008843316832,0.1447015431172291,0.26709452863377203,0.189519253416757,0.183995516643913,0.17929233898244612,0.2573271543494694,0.1524184269507961,0.26187434193983145,1.0,0.1932760374515747,0.20859378620029753
Floatin',0.45040271739594556,0.2916291849361758,0.35967974754287463,0.47234204663749413,0.47870782892517877,0.44888034185668363,0.39990485699606265,0.3390062714715352,0.3375293099467567,0.1932760374515747,1.0,0.353051004988385
Summer Breeze,0.3379520145329449,0.29063305212461615,0.37058724596978737,0.39263925967206814,0.3755742877801563,0.37419214430465336,0.36511788379044685,0.3005893909103383,0.3942830936936234,0.20859378620029753,0.353051004988385,1.0
