,source,source_name,final,final_name,weight
0,294923,Judy Collins,13387,Shawn Colvin,2.568050833375483
1,294923,Judy Collins,51909,Carpenters,2.2662969061336526
2,294923,Judy Collins,137474,Laura Nyro,2.2662969061336526
3,294923,Judy Collins,147635,Carly Simon,2.568050833375483
4,294923,Judy Collins,168256,Eva Cassidy,2.9099828292364025
5,294923,Judy Collins,186185,C̩line Dion,2.9099828292364025
6,294923,Judy Collins,210512,Janie Fricke,2.568050833375483
7,294923,Judy Collins,213212,Janis Ian,2.2662969061336526
8,294923,Judy Collins,245019,Sandy Denny,1.1331484530668263
9,294923,Judy Collins,347151,Jewel,3.2974425414002564
10,294923,Judy Collins,501081,"10,000 Maniacs",2.9099828292364025
11,294923,Judy Collins,574035,St. Vincent,3.7364919148644447
12,294923,Judy Collins,677352,Dar Williams,1.6487212707001282
13,294923,Judy Collins,696015,Phoebe Snow,2.568050833375483
14,294923,Judy Collins,838414,June Tabor,1.2840254166877414
15,294923,Judy Collins,858375,Mary Chapin Carpenter,2.9099828292364025
16,753685,Soft Machine,74776,Bill Bruford,1.0
17,753685,Soft Machine,90945,Colosseum,1.0
18,753685,Soft Machine,94890,The Legendary Pink Dots,1.2840254166877414
19,753685,Soft Machine,125465,Barclay James Harvest,1.0
20,753685,Soft Machine,148355,Egg,1.0
21,753685,Soft Machine,156886,Spyro Gyra,2.2662969061336526
22,753685,Soft Machine,180023,Tortoise,1.4549914146182013
23,753685,Soft Machine,195305,Focus,1.0
24,753685,Soft Machine,199995,Genesis,1.0
25,753685,Soft Machine,300245,Rick Wakeman,1.0
26,753685,Soft Machine,463527,Return to Forever,2.2662969061336526
27,753685,Soft Machine,489520,Mike Oldfield,2.0
28,753685,Soft Machine,609590,Caribou,1.6487212707001282
29,753685,Soft Machine,611881,Atomic Rooster,1.0
30,753685,Soft Machine,617196,Brian Eno,1.1331484530668263
31,753685,Soft Machine,672011,Hawkwind,1.0
32,753685,Soft Machine,685647,Yes,1.0
33,753685,Soft Machine,758444,Blur,1.2840254166877414
34,753685,Soft Machine,784732,Joe Jackson,1.1331484530668263
35,753685,Soft Machine,795341,Felt,1.1331484530668263
36,753685,Soft Machine,840000,Vangelis,2.0
37,753685,Soft Machine,842802,Peter Gabriel,1.1331484530668263
38,753685,Soft Machine,949619,Gong,1.0
39,852007,Roy Orbison,43714,Bee Gees,1.1331484530668263
40,852007,Roy Orbison,51992,Big Star,1.2840254166877414
41,852007,Roy Orbison,58549,Elvis Costello,1.2840254166877414
42,852007,Roy Orbison,77732,Bobby Vee,1.0
43,852007,Roy Orbison,87985,The Hollies,1.1331484530668263
44,852007,Roy Orbison,98081,Engelbert Humperdinck,2.0
45,852007,Roy Orbison,131581,"Crosby, Stills & Nash",1.1331484530668263
46,852007,Roy Orbison,137580,The Cramps,1.2840254166877414
47,852007,Roy Orbison,152002,Joe Ely,2.568050833375483
48,852007,Roy Orbison,179205,Don McLean,1.1331484530668263
49,852007,Roy Orbison,203639,Johnny Rivers,1.1331484530668263
50,852007,Roy Orbison,207127,Ricky Van Shelton,2.9099828292364025
51,852007,Roy Orbison,219203,U2,1.2840254166877414
52,852007,Roy Orbison,228266,Jeff Lynne,1.1331484530668263
53,852007,Roy Orbison,232564,John Lennon,1.0
54,852007,Roy Orbison,240665,Jeff Buckley,1.6487212707001282
55,852007,Roy Orbison,255733,Johnny Hallyday,1.1331484530668263
56,852007,Roy Orbison,285693,Robert Gordon,1.2840254166877414
57,852007,Roy Orbison,346684,Richard Hawley,1.6487212707001282
58,852007,Roy Orbison,379125,Neil Young,1.1331484530668263
59,852007,Roy Orbison,399659,The Mavericks,2.9099828292364025
60,852007,Roy Orbison,424296,The Righteous Brothers,1.1331484530668263
61,852007,Roy Orbison,475431,Stray Cats,1.4549914146182013
62,852007,Roy Orbison,479772,The Motels,1.2840254166877414
63,852007,Roy Orbison,489876,The Pogues,1.4549914146182013
64,852007,Roy Orbison,517796,Brian Poole & the Tremeloes,1.0
65,852007,Roy Orbison,520583,My Morning Jacket,1.6487212707001282
66,852007,Roy Orbison,530745,Bruce Springsteen,1.2840254166877414
67,852007,Roy Orbison,560208,Harry Nilsson,1.0
68,852007,Roy Orbison,575051,Herman's Hermits,1.1331484530668263
69,852007,Roy Orbison,605965,Atlanta Rhythm Section,1.2840254166877414
70,852007,Roy Orbison,612716,Tom Petty,1.2840254166877414
71,852007,Roy Orbison,615119,Tom Waits,1.2840254166877414
72,852007,Roy Orbison,625736,Brian Wilson,1.1331484530668263
73,852007,Roy Orbison,664378,Glen Campbell,2.0
74,852007,Roy Orbison,683085,"Dave Dee, Dozy, Beaky, Mick & Tich",1.1331484530668263
75,852007,Roy Orbison,686897,Linda Ronstadt,1.1331484530668263
76,852007,Roy Orbison,754032,The Beatles,1.1331484530668263
77,852007,Roy Orbison,775323,Chris Isaak,1.4549914146182013
78,852007,Roy Orbison,776562,Colin Blunstone,1.1331484530668263
79,852007,Roy Orbison,791483,Dwight Yoakam,2.568050833375483
80,852007,Roy Orbison,807121,Lou Christie,1.1331484530668263
81,852007,Roy Orbison,816387,Leon Russell,1.0
82,852007,Roy Orbison,834466,Roger McGuinn,1.1331484530668263
83,852007,Roy Orbison,852997,k.d. lang,1.4549914146182013
84,852007,Roy Orbison,921359,The Tremeloes,1.0
85,852007,Roy Orbison,1050323,Ida Maria,1.8682459574322223
86,32807,Son Seals,830425,Robert Cray,1.1331484530668263
87,393257,Newsboys,100575,Chris Tomlin,1.1331484530668263
88,393257,Newsboys,510885,TobyMac,1.0
89,393257,Newsboys,870809,MercyMe,1.1331484530668263
90,393257,Newsboys,924306,Thousand Foot Krutch,2.2662969061336526
91,393257,Newsboys,2120504,Rend Collective,1.2840254166877414
92,753706,The All-American Rejects,121236,Cartel,1.0
93,753706,The All-American Rejects,614830,Metro Station,1.0
94,753706,The All-American Rejects,667657,The Maine,1.0
95,753706,The All-American Rejects,722133,Boys Like Girls,1.0
96,753706,The All-American Rejects,727318,We the Kings,1.0
97,753706,The All-American Rejects,736318,All Time Low,1.0
98,753706,The All-American Rejects,916783,Mayday Parade,1.0
99,753706,The All-American Rejects,993302,Forever the Sickest Kids,1.0
100,753706,The All-American Rejects,1019495,Never Shout Never,1.0
