,Avant-Garde,Blues,Children's,Classical,Comedy/Spoken,Country,Easy Listening,Electronic,Folk,International,Jazz,Latin,New Age,Pop/Rock,R&B;,Reggae,Religious,Stage & Screen,Vocal,year
0,0.0,17.0,0.0,3.0,2.0,14.0,3.0,0.0,6.0,2.0,45.0,11.0,0.0,1.0,1.0,0.0,3.0,8.0,39.0,1930
1,0.0,17.0,0.0,3.0,2.0,14.0,3.0,0.0,6.0,2.0,45.0,11.0,0.0,1.0,1.0,0.0,3.0,8.0,39.0,1931
2,0.0,17.0,0.0,3.0,2.0,14.0,3.0,0.0,6.0,2.0,45.0,11.0,0.0,1.0,1.0,0.0,3.0,8.0,39.0,1932
3,0.0,17.0,0.0,3.0,2.0,14.0,3.0,0.0,6.0,2.0,45.0,11.0,0.0,1.0,1.0,0.0,3.0,8.0,39.0,1933
4,0.0,17.0,0.0,3.0,2.0,14.0,3.0,0.0,6.0,2.0,45.0,11.0,0.0,1.0,1.0,0.0,3.0,8.0,39.0,1934
5,0.0,17.0,0.0,3.0,2.0,14.0,3.0,0.0,6.0,2.0,45.0,11.0,0.0,1.0,1.0,0.0,3.0,8.0,39.0,1935
6,0.0,17.0,0.0,3.0,2.0,14.0,3.0,0.0,6.0,2.0,45.0,11.0,0.0,1.0,1.0,0.0,3.0,8.0,39.0,1936
7,0.0,17.0,0.0,3.0,2.0,14.0,3.0,0.0,6.0,2.0,45.0,11.0,0.0,1.0,1.0,0.0,3.0,8.0,39.0,1937
8,0.0,17.0,0.0,3.0,2.0,14.0,3.0,0.0,6.0,2.0,45.0,11.0,0.0,1.0,1.0,0.0,3.0,8.0,39.0,1938
9,0.0,17.0,0.0,3.0,2.0,14.0,3.0,0.0,6.0,2.0,45.0,11.0,0.0,1.0,1.0,0.0,3.0,8.0,39.0,1939
10,1.0,37.0,0.0,9.0,3.0,46.0,10.0,0.0,13.0,10.0,126.0,28.0,0.0,3.0,18.0,1.0,6.0,9.0,80.0,1940
11,1.0,37.0,0.0,9.0,3.0,46.0,10.0,0.0,13.0,10.0,126.0,28.0,0.0,3.0,18.0,1.0,6.0,9.0,80.0,1941
12,1.0,37.0,0.0,9.0,3.0,46.0,10.0,0.0,13.0,10.0,126.0,28.0,0.0,3.0,18.0,1.0,6.0,9.0,80.0,1942
13,1.0,37.0,0.0,9.0,3.0,46.0,10.0,0.0,13.0,10.0,126.0,28.0,0.0,3.0,18.0,1.0,6.0,9.0,80.0,1943
14,1.0,37.0,0.0,9.0,3.0,46.0,10.0,0.0,13.0,10.0,126.0,28.0,0.0,3.0,18.0,1.0,6.0,9.0,80.0,1944
15,1.0,37.0,0.0,9.0,3.0,46.0,10.0,0.0,13.0,10.0,126.0,28.0,0.0,3.0,18.0,1.0,6.0,9.0,80.0,1945
16,1.0,37.0,0.0,9.0,3.0,46.0,10.0,0.0,13.0,10.0,126.0,28.0,0.0,3.0,18.0,1.0,6.0,9.0,80.0,1946
17,1.0,37.0,0.0,9.0,3.0,46.0,10.0,0.0,13.0,10.0,126.0,28.0,0.0,3.0,18.0,1.0,6.0,9.0,80.0,1947
18,1.0,37.0,0.0,9.0,3.0,46.0,10.0,0.0,13.0,10.0,126.0,28.0,0.0,3.0,18.0,1.0,6.0,9.0,80.0,1948
19,1.0,37.0,0.0,9.0,3.0,46.0,10.0,0.0,13.0,10.0,126.0,28.0,0.0,3.0,18.0,1.0,6.0,9.0,80.0,1949
20,2.0,72.0,2.0,13.0,8.0,106.0,17.0,0.0,35.0,19.0,228.0,57.0,0.0,106.0,122.0,4.0,8.0,22.0,119.0,1950
21,2.0,72.0,2.0,13.0,8.0,106.0,17.0,0.0,35.0,19.0,228.0,57.0,0.0,106.0,122.0,4.0,8.0,22.0,119.0,1951
22,2.0,72.0,2.0,13.0,8.0,106.0,17.0,0.0,35.0,19.0,228.0,57.0,0.0,106.0,122.0,4.0,8.0,22.0,119.0,1952
23,2.0,72.0,2.0,13.0,8.0,106.0,17.0,0.0,35.0,19.0,228.0,57.0,0.0,106.0,122.0,4.0,8.0,22.0,119.0,1953
24,2.0,72.0,2.0,13.0,8.0,106.0,17.0,0.0,35.0,19.0,228.0,57.0,0.0,106.0,122.0,4.0,8.0,22.0,119.0,1954
25,2.0,72.0,2.0,13.0,8.0,106.0,17.0,0.0,35.0,19.0,228.0,57.0,0.0,106.0,122.0,4.0,8.0,22.0,119.0,1955
26,2.0,72.0,2.0,13.0,8.0,106.0,17.0,0.0,35.0,19.0,228.0,57.0,0.0,106.0,122.0,4.0,8.0,22.0,119.0,1956
27,2.0,72.0,2.0,13.0,8.0,106.0,17.0,0.0,35.0,19.0,228.0,57.0,0.0,106.0,122.0,4.0,8.0,22.0,119.0,1957
28,2.0,72.0,2.0,13.0,8.0,106.0,17.0,0.0,35.0,19.0,228.0,57.0,0.0,106.0,122.0,4.0,8.0,22.0,119.0,1958
29,2.0,72.0,2.0,13.0,8.0,106.0,17.0,0.0,35.0,19.0,228.0,57.0,0.0,106.0,122.0,4.0,8.0,22.0,119.0,1959
30,5.0,87.0,2.0,19.0,21.0,157.0,20.0,4.0,66.0,39.0,294.0,98.0,3.0,516.0,250.0,40.0,17.0,25.0,132.0,1960
31,5.0,87.0,2.0,19.0,21.0,157.0,20.0,4.0,66.0,39.0,294.0,98.0,3.0,516.0,250.0,40.0,17.0,25.0,132.0,1961
32,5.0,87.0,2.0,19.0,21.0,157.0,20.0,4.0,66.0,39.0,294.0,98.0,3.0,516.0,250.0,40.0,17.0,25.0,132.0,1962
33,5.0,87.0,2.0,19.0,21.0,157.0,20.0,4.0,66.0,39.0,294.0,98.0,3.0,516.0,250.0,40.0,17.0,25.0,132.0,1963
34,5.0,87.0,2.0,19.0,21.0,157.0,20.0,4.0,66.0,39.0,294.0,98.0,3.0,516.0,250.0,40.0,17.0,25.0,132.0,1964
35,5.0,87.0,2.0,19.0,21.0,157.0,20.0,4.0,66.0,39.0,294.0,98.0,3.0,516.0,250.0,40.0,17.0,25.0,132.0,1965
36,5.0,87.0,2.0,19.0,21.0,157.0,20.0,4.0,66.0,39.0,294.0,98.0,3.0,516.0,250.0,40.0,17.0,25.0,132.0,1966
37,5.0,87.0,2.0,19.0,21.0,157.0,20.0,4.0,66.0,39.0,294.0,98.0,3.0,516.0,250.0,40.0,17.0,25.0,132.0,1967
38,5.0,87.0,2.0,19.0,21.0,157.0,20.0,4.0,66.0,39.0,294.0,98.0,3.0,516.0,250.0,40.0,17.0,25.0,132.0,1968
39,5.0,87.0,2.0,19.0,21.0,157.0,20.0,4.0,66.0,39.0,294.0,98.0,3.0,516.0,250.0,40.0,17.0,25.0,132.0,1969
40,7.0,95.0,3.0,21.0,24.0,217.0,21.0,14.0,78.0,56.0,339.0,118.0,15.0,935.0,359.0,78.0,28.0,36.0,146.0,1970
41,7.0,95.0,3.0,21.0,24.0,217.0,21.0,14.0,78.0,56.0,339.0,118.0,15.0,935.0,359.0,78.0,28.0,36.0,146.0,1971
42,7.0,95.0,3.0,21.0,24.0,217.0,21.0,14.0,78.0,56.0,339.0,118.0,15.0,935.0,359.0,78.0,28.0,36.0,146.0,1972
43,7.0,95.0,3.0,21.0,24.0,217.0,21.0,14.0,78.0,56.0,339.0,118.0,15.0,935.0,359.0,78.0,28.0,36.0,146.0,1973
44,7.0,95.0,3.0,21.0,24.0,217.0,21.0,14.0,78.0,56.0,339.0,118.0,15.0,935.0,359.0,78.0,28.0,36.0,146.0,1974
45,7.0,95.0,3.0,21.0,24.0,217.0,21.0,14.0,78.0,56.0,339.0,118.0,15.0,935.0,359.0,78.0,28.0,36.0,146.0,1975
46,7.0,95.0,3.0,21.0,24.0,217.0,21.0,14.0,78.0,56.0,339.0,118.0,15.0,935.0,359.0,78.0,28.0,36.0,146.0,1976
47,7.0,95.0,3.0,21.0,24.0,217.0,21.0,14.0,78.0,56.0,339.0,118.0,15.0,935.0,359.0,78.0,28.0,36.0,146.0,1977
48,7.0,95.0,3.0,21.0,24.0,217.0,21.0,14.0,78.0,56.0,339.0,118.0,15.0,935.0,359.0,78.0,28.0,36.0,146.0,1978
49,7.0,95.0,3.0,21.0,24.0,217.0,21.0,14.0,78.0,56.0,339.0,118.0,15.0,935.0,359.0,78.0,28.0,36.0,146.0,1979
50,7.0,99.0,3.0,23.0,32.0,259.0,21.0,51.0,85.0,67.0,373.0,159.0,26.0,1547.0,440.0,103.0,52.0,40.0,152.0,1980
51,7.0,99.0,3.0,23.0,32.0,259.0,21.0,51.0,85.0,67.0,373.0,159.0,26.0,1547.0,440.0,103.0,52.0,40.0,152.0,1981
52,7.0,99.0,3.0,23.0,32.0,259.0,21.0,51.0,85.0,67.0,373.0,159.0,26.0,1547.0,440.0,103.0,52.0,40.0,152.0,1982
53,7.0,99.0,3.0,23.0,32.0,259.0,21.0,51.0,85.0,67.0,373.0,159.0,26.0,1547.0,440.0,103.0,52.0,40.0,152.0,1983
54,7.0,99.0,3.0,23.0,32.0,259.0,21.0,51.0,85.0,67.0,373.0,159.0,26.0,1547.0,440.0,103.0,52.0,40.0,152.0,1984
55,7.0,99.0,3.0,23.0,32.0,259.0,21.0,51.0,85.0,67.0,373.0,159.0,26.0,1547.0,440.0,103.0,52.0,40.0,152.0,1985
56,7.0,99.0,3.0,23.0,32.0,259.0,21.0,51.0,85.0,67.0,373.0,159.0,26.0,1547.0,440.0,103.0,52.0,40.0,152.0,1986
57,7.0,99.0,3.0,23.0,32.0,259.0,21.0,51.0,85.0,67.0,373.0,159.0,26.0,1547.0,440.0,103.0,52.0,40.0,152.0,1987
58,7.0,99.0,3.0,23.0,32.0,259.0,21.0,51.0,85.0,67.0,373.0,159.0,26.0,1547.0,440.0,103.0,52.0,40.0,152.0,1988
59,7.0,99.0,3.0,23.0,32.0,259.0,21.0,51.0,85.0,67.0,373.0,159.0,26.0,1547.0,440.0,103.0,52.0,40.0,152.0,1989
60,9.0,101.0,4.0,27.0,41.0,333.0,22.0,141.0,93.0,77.0,399.0,213.0,32.0,2212.0,554.0,128.0,78.0,45.0,159.0,1990
