,source,source_name,final,final_name,weight
0,245760,Les McCann,65882,Bob James,1.0
1,245760,Les McCann,110541,Chick Corea,1.0
2,245760,Les McCann,176859,Joe Zawinul,1.0
3,245760,Les McCann,334770,Ramsey Lewis,0.8394570207692074
4,245760,Les McCann,406583,"Medeski, Martin & Wood",1.4549914146182013
5,245760,Les McCann,515790,Alex Bugnon,1.2840254166877414
6,245760,Les McCann,536122,George Duke,1.0
7,245760,Les McCann,804559,Joe Sample,1.0
8,245760,Les McCann,957296,Herbie Hancock,1.0
9,835585,Loverboy,26367,Skid Row,1.0
10,835585,Loverboy,177117,Faster Pussycat,1.0
11,835585,Loverboy,255576,Honeymoon Suite,1.0
12,835585,Loverboy,355616,Poison,1.0
13,835585,Loverboy,500992,MÃ¶tley CrÃ¼e,1.0
14,835585,Loverboy,789064,Extreme,1.0
15,180228,Elvis Presley,5882,T. Rex,1.1331484530668263
16,180228,Elvis Presley,27102,Terry Stafford,1.1331484530668263
17,180228,Elvis Presley,29884,Paul McCartney,1.0
18,180228,Elvis Presley,31685,Paul Simon,1.0
19,180228,Elvis Presley,35719,Steve Harley,1.2840254166877414
20,180228,Elvis Presley,38302,Social Distortion,1.2840254166877414
21,180228,Elvis Presley,38936,Simon & Garfunkel,1.0
22,180228,Elvis Presley,43714,Bee Gees,1.1331484530668263
23,180228,Elvis Presley,46699,The Everly Brothers,1.0
24,180228,Elvis Presley,58549,Elvis Costello,1.2840254166877414
25,180228,Elvis Presley,61534,The Bobby Fuller Four,1.1331484530668263
26,180228,Elvis Presley,66915,Bob Dylan,1.1331484530668263
27,180228,Elvis Presley,70800,Billy Idol,1.2840254166877414
28,180228,Elvis Presley,72041,Bob Seger,1.1331484530668263
29,180228,Elvis Presley,75747,The Clash,1.2840254166877414
30,180228,Elvis Presley,80537,Billy Fury,1.0
31,180228,Elvis Presley,87179,The Knack,1.2840254166877414
32,180228,Elvis Presley,87597,Ian Hunter,1.0
33,180228,Elvis Presley,107090,Cher,1.1331484530668263
34,180228,Elvis Presley,122381,Jacques Dutronc,1.1331484530668263
35,180228,Elvis Presley,127451,Jackie DeShannon,1.0
36,180228,Elvis Presley,130028,Freddie Mercury,1.2840254166877414
37,180228,Elvis Presley,131627,Creedence Clearwater Revival,1.1331484530668263
38,180228,Elvis Presley,135032,The Beau Brummels,1.1331484530668263
39,180228,Elvis Presley,137580,The Cramps,1.2840254166877414
40,180228,Elvis Presley,139026,Led Zeppelin,1.1331484530668263
41,180228,Elvis Presley,153526,Cliff Richard,1.0
42,180228,Elvis Presley,158309,Pat Benatar,1.2840254166877414
43,180228,Elvis Presley,165855,Frankie Avalon,1.0
44,180228,Elvis Presley,172041,Joe Strummer,1.2840254166877414
45,180228,Elvis Presley,174557,Carole King,1.0
46,180228,Elvis Presley,175708,Ry Cooder,1.1331484530668263
47,180228,Elvis Presley,182900,Fleetwood Mac,1.1331484530668263
48,180228,Elvis Presley,183311,Fine Young Cannibals,1.4549914146182013
49,180228,Elvis Presley,194018,Del Shannon,1.0
50,180228,Elvis Presley,198532,Doug Sahm,1.1331484530668263
51,180228,Elvis Presley,200882,Gene Pitney,1.1331484530668263
52,180228,Elvis Presley,200968,Gene Simmons,1.1331484530668263
53,180228,Elvis Presley,203639,Johnny Rivers,1.1331484530668263
54,180228,Elvis Presley,204708,Dr. Feelgood,1.2840254166877414
55,180228,Elvis Presley,209142,George Harrison,1.0
56,180228,Elvis Presley,217792,Ringo Starr,1.0
57,180228,Elvis Presley,224294,John Fogerty,1.1331484530668263
58,180228,Elvis Presley,228266,Jeff Lynne,1.1331484530668263
59,180228,Elvis Presley,232564,John Lennon,1.0
60,180228,Elvis Presley,233066,Lou Reed,1.0
61,180228,Elvis Presley,239961,Johnny Kidd & the Pirates,1.1331484530668263
