,name,score
0,Yungblud,0.0
1,Judy Collins,0.019279223971854484
2,Brick,0.0
3,Soft Machine,0.04016847527912891
4,FKA twigs,0.0
5,Roy Orbison,0.139834596741506
6,Son Seals,0.0006212576521693575
7,Newsboys,0.0005667799270056924
8,The All-American Rejects,0.0009651458299475011
9,The Power Station,0.0
10,Justine Skye,0.0
11,The Flaming Lips,0.01695638156431257
12,REO Speedwagon,0.0034040287978097626
13,Hawthorne Heights,0.0
14,Special Duties,0.0
15,Sia,0.0
16,Lee Greenwood,0.0030682512126455562
17,"Bobby ""Boris"" Pickett",0.0
18,John Barry,0.016158115352390402
19,Magic!,0.0
20,Shawn Mendes,0.0
21,Ella Mai,0.0
22,James Burton,0.012434779936455583
23,Mariah Carey,0.023844549911684103
24,Oasis,0.00608583693208798
25,Hot Chip,0.0
26,Shannon,0.0
27,Desmond Dekker,0.02120417209899314
28,Iron Maiden,0.04808184329966089
29,Klaatu,7.881482984987321e-05
30,Go West,0.000487965097155819
31,Son Volt,0.0005769478368890598
32,Dead Kennedys,0.04142658131469386
33,GWAR,0.002153582212312095
34,The Beautiful South,0.0005330005643294915
35,Sigur RÃ³s,0.00048796509715581907
36,Faith Evans,0.0067952290561173415
37,Stevie Wonder,0.15893056850026221
38,Together PANGEA,0.0
39,The Temper Trap,0.0
40,Regina Belle,0.0026004475349540976
41,Joan Osborne,0.0028384929066776602
42,Tammi Terrell,0.02117463330994131
43,Thelonious Monk Quartet,7.881482984987321e-05
44,Willis Alan Ramsey,0.004963630380204454
45,Noro Morales,0.004140236905139813
46,The Records,0.0032175771739194475
47,The Association,0.011596894104061018
48,Harry James,0.040568085300310565
49,Local Natives,6.955384322024501e-05
50,Steve Lawrence,0.012467099999686657
51,Peter Tosh,0.0503065527220795
52,PJ Harvey,0.008606592612181184
53,Electric Wizard,0.0
54,Bob James,0.002246542377399463
55,"Pete ""El Conde"" RodrÃ­guez",0.00021792251629036325
56,The Bucketheads,0.0
57,Cast,0.0023364922798826487
58,The Middle East,6.955384322024501e-05
59,John Martyn,0.020007030304077633
60,Los Lonely Boys,0.0
61,Jimmy Cliff,0.07156611459475401
62,The Beatles,1.0
63,Gretchen Wilson,0.0
64,Lisa Gerrard,0.0
65,Jack Ingram,0.0
66,Dave Hollister,0.00024552420481888316
67,Sophie B. Hawkins,0.00018414315361416238
68,Sly & the Family Stone,0.14126246597368056
69,Reef,0.0
70,kidneythieves,0.0
71,Champion Jack Dupree,0.01709411317164167
72,Rotary Connection,0.00037910654269142873
73,P.O.D.,0.00012276210240944158
74,Annie Ross,0.013271250252853856
75,Billy Preston,0.00951680072781541
76,A.C. Reed,0.0038497406751609887
77,SoMo,0.0
78,Colter Wall,0.0
79,Rupee,0.0
80,Richard Pryor,0.003158405424993535
81,Hank Cochran,0.0
82,Jimmy Giuffre,0.0010741317785021446
83,"Crosby, Stills & Nash",0.039725701392944894
84,Gojira,0.0
85,Labi Siffre,0.001895121898733979
86,The Proclaimers,0.0017513716509780658
87,Paris Hilton,0.0
88,She Wants Revenge,0.0
89,Squirrel Nut Zippers,0.0
90,Glass Tiger,0.0
91,Trinidad Cardona,0.0
92,Andy Kim,0.0009357373430515604
93,Larry Levan,0.006386248325074013
94,Creedence Clearwater Revival,0.035567675409373806
95,Anthony Newley,0.020458941660597176
96,ReneÃ© Olstead,0.0
97,Restless Heart,0.0029729593259023874
98,Talking Heads,0.06330760865709911
99,Ozomatli,0.00014623989003862613
100,Suzanne Vega,0.015109500734376042
101,Tony Furtado,0.0
102,The Knocks,0.0
103,Jerry Garcia,0.008974343035742958
104,Pat Boone,0.009165576083454563
105,Young Marble Giants,0.006441053288311357
106,Richie Havens,0.02325359110526214
107,Someone Still Loves You Boris Yeltsin,0.0
108,Refused,0.0028927417542842456
109,Kix,0.0003860462486633454
110,The Prodigy,0.008609686584477071
111,Hootie & the Blowfish,0.002373173683680433
112,The O.C. Supertones,0.0
113,Thin Lizzy,0.055102793108001
114,Third Day,0.0006628472641403533
115,Red Sun Rising,0.0
116,Gianluca Grignani,0.0
117,Asia,0.00227219813837256
118,Dream Evil,0.0
119,The New Christy Minstrels,0.011539020280859999
120,Willie Bobo,0.003958406410555175
121,Gorilla Biscuits,0.0019878161405276853
122,RuPaul,0.0
123,Big Maybelle,0.026610962543668334
124,Johnny Otis,0.028645769114996767
125,Poncho Sanchez,0.0001786178050462179
126,Andy Griggs,0.0
127,Jimmy Eat World,0.004531084029615831
128,Howard Stern,0.0
129,David Wilcox,0.00015762965969974641
130,Dorival Caymmi,0.003986253020832521
131,Leroy Hutson,0.0002734520561372713
132,Kaki King,0.0
133,Slim,6.955384322024501e-05
134,Ben E. King,0.08693311236777142
135,The Runaways,0.013199540015220747
136,David Byrne,0.0046659834396595625
137,James Cotton,0.035774210769689695
138,Crywank,0.0
