,source,source_name,final,final_name,weight
0,245760,Les McCann,334770,Ramsey Lewis,1.191246216612358
1,143367,The Duprees,34867,The Belmonts,1.191246216612358
2,593930,Argent,199995,Genesis,1.191246216612358
3,593930,Argent,925450,Three Dog Night,1.191246216612358
4,161808,Shania Twain,9437,SHeDAISY,1.191246216612358
5,94224,Ike & Tina Turner,46727,Edwin Starr,1.191246216612358
6,94224,Ike & Tina Turner,159214,Dusty Springfield,2.382492433224716
7,94224,Ike & Tina Turner,590285,Billy Preston,1.191246216612358
8,661524,Donna Summer,21334,Stephanie Mills,1.191246216612358
9,661524,Donna Summer,86826,Irene Cara,2.382492433224716
10,661524,Donna Summer,473554,Olivia Newton-John,2.382492433224716
11,251925,Wayne Smith,788508,Beenie Man,1.191246216612358
12,520215,Cactus,611881,Atomic Rooster,1.191246216612358
13,49180,Betty Harris,58361,Betty Everett,1.191246216612358
14,49180,Betty Harris,205180,Dr. John,2.382492433224716
15,567325,The Modern Jazz Quartet,28692,Terry Gibbs,1.191246216612358
16,567325,The Modern Jazz Quartet,646353,George Russell,1.191246216612358
17,567325,The Modern Jazz Quartet,768149,Billy Taylor,1.191246216612358
18,145443,Fito Olivares,4852,Selena,1.191246216612358
19,352294,Pixinguinha,219021,Luiz BonfÃ¡,1.4190675485932571
20,352294,Pixinguinha,219243,VinÃ­cius de Moraes,1.4190675485932571
21,352294,Pixinguinha,292559,Roberto Menescal,1.4190675485932571
22,352294,Pixinguinha,785283,JoÃ£o Gilberto,2.8381350971865142
23,352294,Pixinguinha,797205,Elizeth Cardoso,1.4190675485932571
24,753706,The All-American Rejects,185018,Finch,1.191246216612358
25,446509,Metallica,397880,Nick Cave,1.191246216612358
26,210991,Destiny's Child,31442,Anastacia,2.382492433224716
27,278575,Hoyt Axton,102050,The Kingston Trio,2.382492433224716
28,278575,Hoyt Axton,200791,Waylon Jennings,1.191246216612358
29,243777,LÃ©o FerrÃ©,804476,Charles Aznavour,1.191246216612358
30,680003,Woody Shaw,830319,Hugh Masekela,1.191246216612358
31,796741,Eddy Arnold,903609,Jim Reeves,1.191246216612358
32,798792,Graham Central Station,366164,Rick James,1.191246216612358
33,798792,Graham Central Station,745316,Stanley Clarke,2.382492433224716
34,567374,Dallas Holm,239655,Sandi Patty,1.191246216612358
35,690254,ZZ Top,891264,The Outlaws,1.191246216612358
36,788568,The Dillards,387352,Norman Blake,1.191246216612358
37,79960,Boston,593772,April Wine,1.191246216612358
38,577627,The Who,749970,Ted Nugent,1.191246216612358
39,577627,The Who,767129,The Heartbeats,2.382492433224716
40,82013,The Impressions,577235,The Staple Singers,1.191246216612358
41,28772,The 5th Dimension,69986,Kenny Rogers,2.382492433224716
42,28772,The 5th Dimension,403184,The Osmonds,1.191246216612358
43,204901,Sarah Vaughan,837592,June Christy,1.191246216612358
44,868456,Melba Montgomery,788569,Barbara Mandrell,1.191246216612358
45,131178,James Burton,274822,Lonnie Mack,2.382492433224716
46,131178,James Burton,341137,Roy Buchanan,2.382492433224716
47,131178,James Burton,341652,Roy Clark,1.191246216612358
48,131178,James Burton,793988,Eddie Cochran,2.382492433224716
49,131178,James Burton,816387,Leon Russell,2.382492433224716
50,487534,Molotov,245250,Juanes,1.191246216612358
51,807026,Lyres,476248,The Mooney Suzuki,1.191246216612358
52,471156,Mickey Gilley,69986,Kenny Rogers,1.191246216612358
53,206967,Erroll Garner,642664,George Shearing,1.191246216612358
54,176256,Elisa,769444,BjÃ¶rk,1.6904588483790914
55,317571,Jennifer Love Hewitt,831733,Lindsay Lohan,1.191246216612358
56,143494,The Dubliners,307461,Van Morrison,2.382492433224716
57,145543,Eddie Safranski,494537,Milt Hinton,1.191246216612358
58,784527,Barney Kessel,166767,Charlie Barnet,1.191246216612358
59,784527,Barney Kessel,211758,Charlie Parker,1.191246216612358
