,fluencer,follower,score
0,PJ Harvey,Tracy Bonham,1.0
1,PJ Harvey,Sleater-Kinney,1.0
2,PJ Harvey,Imogen Heap,1.0
3,PJ Harvey,The Kills,1.1331484530668263
4,PJ Harvey,The Dresden Dolls,1.1331484530668263
5,PJ Harvey,Amy Millan,1.1331484530668263
6,PJ Harvey,Placebo,1.0
7,PJ Harvey,Natalie Imbruglia,1.0
8,PJ Harvey,Tindersticks,1.0
9,PJ Harvey,Hole,1.191246216612358
10,PJ Harvey,Yeah Yeah Yeahs,1.1331484530668263
11,PJ Harvey,Elastica,1.0
12,PJ Harvey,Cat Power,1.0
13,PJ Harvey,Rachael Yamagata,1.1331484530668263
14,PJ Harvey,KT Tunstall,1.1331484530668263
15,PJ Harvey,Bat for Lashes,1.1331484530668263
16,PJ Harvey,Alanis Morissette,1.0
17,PJ Harvey,Beach House,1.1331484530668263
18,PJ Harvey,Cate Le Bon,1.1331484530668263
19,PJ Harvey,Santigold,1.1331484530668263
20,PJ Harvey,Florence + the Machine,1.1331484530668263
21,PJ Harvey,Perfume Genius,1.1331484530668263
22,P.O.D.,Chevelle,1.0
23,P.O.D.,Blindside,1.0
24,To̱o Rosario,Elvis Crespo,1.191246216612358
25,Soundgarden,System of a Down,1.1331484530668263
26,Soundgarden,Alice in Chains,1.0
27,Soundgarden,Shinedown,1.2840254166877414
28,Soundgarden,Silverchair,1.1331484530668263
29,Soundgarden,Switchfoot,1.1331484530668263
30,Soundgarden,Chevelle,1.1331484530668263
31,Soundgarden,Black Label Society,1.1331484530668263
32,Soundgarden,L7,1.0
33,Soundgarden,Everclear,1.1331484530668263
34,Soundgarden,Clutch,1.1331484530668263
35,Soundgarden,Sponge,1.1331484530668263
36,Soundgarden,Staind,1.1331484530668263
37,Soundgarden,Vision of Disorder,1.1331484530668263
38,Soundgarden,Days of the New,1.1331484530668263
39,Soundgarden,Saliva,1.1331484530668263
40,Soundgarden,Poison the Well,1.1331484530668263
41,Soundgarden,Puddle of Mudd,1.1331484530668263
42,Soundgarden,Jerry Cantrell,1.0
43,Soundgarden,Queens of the Stone Age,1.1331484530668263
44,Soundgarden,Our Lady Peace,1.1331484530668263
45,Soundgarden,Three Days Grace,1.1331484530668263
46,Soundgarden,Monster Magnet,1.0
47,Soundgarden,Buckcherry,1.1331484530668263
48,Soundgarden,Candlebox,1.1331484530668263
49,Soundgarden,Saving Abel,1.2840254166877414
50,Soundgarden,Third Day,2.2662969061336526
51,Soundgarden,Theory of a Deadman,1.2840254166877414
52,Soundgarden,Seether,1.1331484530668263
